,15.0 72.5,15.0 75.0,15.0 77.5,15.0 80.0,17.5 72.5,17.5 75.0,17.5 77.5,17.5 80.0,20.0 72.5,20.0 75.0,20.0 77.5,20.0 80.0,22.5 72.5,22.5 75.0,22.5 77.5,22.5 80.0
0,290.7,292.41998,292.95,292.32,296.37,294.37,294.37,294.91998,298.66998,296.22,295.3,295.6,299.85,297.14,294.97,296.62
1,290.57,292.95,292.3,290.3,295.12,294.12,294.85,295.3,297.91998,295.40002,295.3,296.1,300.05,296.97,294.77002,296.85
2,289.22,292.97,293.57,290.47,295.2,295.27002,295.14,293.77002,298.32,296.49,295.77002,295.66998,300.39,297.32,295.15002,297.45
3,288.85,291.91998,292.15002,289.91998,294.2,294.3,295.35,294.72,297.2,295.75,296.12,295.95,299.41998,296.82,295.25,297.02002
4,287.74,288.05,289.47,289.57,293.12,291.85,293.85,294.35,296.95,295.97,296.77002,296.37,298.8,297.05,295.77002,296.91998
5,290.0,289.32,288.52002,288.27002,294.27002,291.02002,291.41998,293.2,297.2,294.8,295.40002,296.75,299.27002,297.91998,297.14,298.16998
6,291.8,290.6,289.2,288.62,296.05,292.8,291.49,292.1,298.16998,295.91998,295.35,295.77002,299.40002,297.8,297.02002,298.45
7,293.72,293.25,291.99,291.41998,297.7,294.41998,292.62,293.16998,299.2,296.47,294.77002,294.75,299.55,297.55,296.25,297.77002
8,294.72,295.32,294.35,293.47,297.52002,295.64,295.22,296.35,299.6,297.62,295.97,296.37,300.1,298.5,296.24,297.27002
9,294.02002,295.14,294.97,294.57,297.47,295.87,295.89,297.25,298.7,297.0,295.97,296.32,300.0,298.04,295.95,297.1
10,294.40002,295.02002,293.0,291.91998,297.95,296.66998,295.41998,294.95,298.90002,297.07,295.75,295.6,299.91998,297.85,295.55,296.91998
11,291.39,291.62,292.04,291.95,296.1,295.15002,295.52002,295.02002,298.2,296.72,295.49,294.87,299.55,297.85,295.41998,296.8
12,290.77002,290.45,290.12,290.6,296.2,295.24,295.22,294.95,298.12,296.77002,295.82,295.2,299.0,297.14,295.47,297.02002
13,290.55,290.14,290.12,290.95,296.32,295.1,295.7,295.89,298.05,296.8,296.47,295.89,299.49,297.91998,296.5,297.87
14,291.45,291.27002,291.0,291.27002,296.66998,295.02002,295.1,295.45,298.35,296.7,296.45,296.12,299.45,297.62,296.3,297.66998
15,292.65002,292.99,292.12,291.85,297.87,296.66998,295.52002,295.35,298.85,297.05,296.2,296.52002,299.12,297.47,296.2,298.37
16,291.74,294.65002,294.16998,292.2,296.47,296.91998,296.7,295.55,297.05,295.87,296.66998,297.07,299.47,297.7,296.55,298.57
17,291.91998,293.72,294.22,292.72,295.02002,295.37,296.66998,296.27002,297.22,296.07,295.8,295.87,298.7,296.82,295.12,297.41998
18,291.74,293.40002,294.12,292.47,295.2,295.45,296.97,296.5,297.37,295.72,295.85,296.55,298.90002,297.0,295.7,297.90002
