,15.0 72.5,15.0 75.0,15.0 77.5,15.0 80.0,17.5 72.5,17.5 75.0,17.5 77.5,17.5 80.0,20.0 72.5,20.0 75.0,20.0 77.5,20.0 80.0,22.5 72.5,22.5 75.0,22.5 77.5,22.5 80.0
0,12.869995,18.48999,20.679993,18.589996,20.290009,21.740005,23.789993,23.490005,27.589996,23.919998,23.589996,24.220001,33.240005,27.020004,24.89,30.289993
1,7.5400085,15.390015,23.720001,25.190002,16.98999,22.089996,27.759995,28.339996,27.990005,25.069992,24.710007,24.319992,33.869995,26.569992,24.089996,29.319992
2,5.399994,11.720001,20.269989,24.169998,12.140015,18.790009,26.240005,27.039993,24.270004,23.190002,24.020004,22.720001,32.42,25.39,23.119995,27.589996
3,5.869995,10.820007,21.179993,26.300003,9.940002,15.799988,25.190002,26.169998,20.220001,21.919998,24.069992,22.240005,30.169998,25.36,22.270004,27.289993
4,9.390015,10.98999,15.429993,21.140015,12.089996,13.869995,21.269989,26.669998,18.570007,19.790009,24.319992,25.619995,27.190002,25.339996,24.589996,28.520004
5,13.589996,14.48999,14.570007,15.100006,17.570007,16.820007,19.109985,21.819992,23.64,22.839996,24.869995,26.490005,28.289993,27.319992,26.869995,31.039993
6,15.73999,15.820007,14.149994,13.179993,20.709991,17.839996,17.269989,17.769989,26.619995,23.460007,22.270004,22.089996,30.419998,28.440002,26.520004,30.160004
7,17.869995,17.769989,13.73999,11.309998,23.819992,18.890015,15.220001,15.119995,28.309998,21.990005,17.73999,17.769989,31.589996,27.169998,22.64,26.940002
8,16.640015,19.049988,17.209991,13.970001,24.14,22.009995,19.290009,17.179993,29.819992,24.11,19.119995,17.839996,33.850006,27.419998,20.369995,24.919998
9,15.73999,20.48999,19.820007,15.299988,24.149994,22.839996,20.98999,17.899994,30.039993,22.819992,18.459991,17.140015,33.039993,24.199997,19.140015,25.119995
10,18.98999,27.039993,25.869995,18.570007,25.319992,24.89,22.069992,17.869995,30.069992,22.970001,17.540009,16.089996,33.369995,25.319992,20.440002,26.020004
11,18.970001,26.350006,26.190002,20.190002,24.470001,24.460007,22.569992,19.299988,29.940002,23.039993,17.820007,17.790009,34.589996,26.289993,20.570007,27.589996
12,22.169998,26.809998,24.89,20.089996,25.770004,23.270004,20.559998,18.570007,28.169998,21.48999,18.769989,21.140015,32.789993,26.64,23.619995,31.39
13,20.429993,26.169998,24.619995,19.790009,23.319992,22.960007,20.410004,18.390015,24.86,22.119995,20.940002,22.190002,29.089996,27.059998,26.339996,31.440002
14,21.429993,25.069992,23.11,18.790009,27.169998,24.690002,21.320007,19.190002,27.740005,23.440002,20.320007,21.369995,30.559998,27.520004,23.770004,28.470001
15,32.289993,29.89,24.14,19.119995,30.970001,25.690002,21.740005,19.940002,29.720001,26.839996,22.89,22.300003,32.440002,30.289993,25.319992,30.240005
16,34.67,29.39,22.369995,19.390015,30.990005,26.619995,23.339996,23.190002,32.86,29.14,25.569992,24.690002,35.17,31.660004,28.619995,33.039993
17,33.240005,34.270004,26.669998,18.98999,35.449997,32.069992,28.339996,26.89,38.789993,31.839996,30.919998,33.440002,43.42,36.619995,35.100006,40.17
18,39.539993,35.520004,24.589996,19.089996,39.690002,33.47,28.14,26.690002,41.22,34.270004,32.619995,32.819992,44.589996,37.740005,34.520004,37.67
19,36.539993,34.92,28.350006,23.440002,37.440002,33.089996,29.839996,26.539993,39.72,33.839996,31.449997,28.339996,42.119995,36.61,33.47,34.72
20,26.520004,32.64,32.47,29.869995,34.97,33.800003,29.770004,25.990005,39.690002,33.119995,28.619995,25.069992,43.67,37.47,32.789993,31.289993
21,14.98999,21.070007,23.770004,25.740005,24.770004,27.169998,27.970001,27.339996,34.39,30.490005,27.839996,24.419998,42.039993,36.5,31.559998,28.240005
22,17.390015,22.089996,23.86,24.039993,23.690002,27.119995,30.36,32.119995,31.270004,28.669998,27.339996,26.339996,40.47,33.839996,26.839996,24.789993
23,10.679993,17.220001,22.970001,24.270004,14.720001,20.290009,27.339996,31.470001,24.470001,24.470001,25.970001,27.919998,34.589996,30.740005,25.61,25.490005
24,9.790009,13.519989,20.720001,23.960007,14.119995,18.119995,25.339996,28.839996,22.619995,21.690002,23.14,25.419998,31.100006,26.589996,22.770004,26.64
25,12.429993,17.790009,21.040009,20.519989,20.820007,23.520004,27.970001,29.569992,26.86,23.770004,25.14,27.589996,31.25,25.169998,23.490005,28.819992
26,25.369995,29.270004,26.919998,19.390015,29.589996,28.440002,29.369995,28.289993,30.64,24.190002,24.740005,27.850006,33.740005,24.86,22.319992,28.300003
27,25.190002,30.589996,29.539993,21.140015,30.119995,28.520004,29.39,26.770004,30.440002,25.169998,26.520004,27.720001,31.169998,24.119995,23.210007,27.869995
28,22.14,28.710007,30.419998,24.809998,31.460007,31.770004,31.270004,25.240005,30.869995,25.569992,23.059998,19.619995,29.490005,22.589996,18.519989,20.970001
29,16.959991,22.089996,23.619995,22.470001,28.270004,29.369995,29.039993,26.089996,30.300003,24.569992,20.660004,18.769989,28.119995,19.790009,15.220001,19.160004
30,14.98999,19.540009,19.019989,15.589996,25.009995,27.14,27.440002,25.789993,28.289993,24.289993,22.190002,21.839996,28.470001,21.190002,15.549988,17.649994
31,16.23999,21.740005,21.369995,16.820007,22.960007,25.990005,27.470001,26.789993,26.490005,23.940002,22.869995,24.020004,28.020004,23.470001,18.48999,19.820007
32,11.220001,14.940002,22.419998,25.809998,14.290009,17.98999,24.240005,27.490005,21.089996,21.320007,21.789993,22.190002,27.270004,25.789993,21.100006,20.769989
33,8.160004,10.290009,12.570007,17.98999,12.190002,13.089996,19.019989,24.740005,19.049988,17.890015,21.850006,24.369995,25.490005,24.819992,23.240005,23.690002
34,6.769989,7.48999,8.320007,10.970001,12.929993,9.98999,13.140015,19.609985,17.619995,13.73999,18.429993,24.819992,22.319992,19.869995,23.720001,27.710007
35,7.470001,7.48999,6.3900146,6.7099915,12.640015,7.769989,9.140015,16.519989,17.890015,12.73999,17.679993,26.039993,21.23999,19.369995,25.270004,30.009995
36,5.5700073,6.720001,6.1900024,5.220001,7.8399963,5.220001,6.720001,11.790009,12.890015,10.070007,16.019989,24.319992,20.769989,20.720001,27.759995,33.270004
37,6.98999,7.369995,6.3200073,3.899994,9.269989,5.899994,5.720001,7.5,14.390015,10.940002,12.929993,17.320007,22.39,23.64,26.589996,28.940002
38,8.720001,9.140015,7.769989,6.1799927,12.890015,9.290009,8.369995,9.48999,21.190002,14.73999,13.339996,15.570007,30.690002,25.319992,20.839996,22.369995
39,8.589996,11.070007,10.660004,8.040009,15.320007,15.570007,16.839996,16.540009,25.720001,21.720001,20.73999,21.089996,34.410004,27.069992,21.89,24.520004
